stock_id,r_squared,valid_count,invalid_count,incomplete_count
000001.SZ,0.1162,43346,20,17
000002.SZ,0.0650,50976,9,37
000004.SZ,-0.0532,4977,1789,4
000005.SZ,0.1177,3863,2024,4
000006.SZ,0.1922,18808,553,7
000007.SZ,0.0195,3383,1971,4
000008.SZ,0.0644,9313,1170,3
000009.SZ,0.1665,27546,90,10
000010.SZ,0.4062,1160,1729,2
000011.SZ,0.0745,29218,138,15
000012.SZ,0.1525,15853,533,7
000014.SZ,0.0439,6750,1805,6
000016.SZ,0.0738,16750,430,5
000019.SZ,0.1955,15263,1156,6
000020.SZ,0.1517,4936,2093,2
000021.SZ,0.1208,25288,130,12
000023.SZ,0.1666,3781,1959,4
000025.SZ,0.2050,9905,1537,6
000026.SZ,0.2049,19650,1207,3
000027.SZ,0.3175,7573,1591,3
000028.SZ,0.2323,13139,989,6
000029.SZ,nan,0,479,1
000030.SZ,0.1361,8920,1691,3
000031.SZ,0.2504,6073,2038,3
000032.SZ,0.2023,9548,1672,4
000034.SZ,0.1370,14930,713,5
000035.SZ,0.3203,4480,2008,3
000036.SZ,0.2757,7886,1788,5
000037.SZ,0.1105,5453,2111,3
000038.SZ,-0.0264,11785,1020,4
000039.SZ,0.1534,15602,737,11
000040.SZ,-0.0953,6460,1604,3
000042.SZ,-0.0066,1565,1817,4
000045.SZ,0.0352,10121,6682,9
000046.SZ,-0.0600,7438,1906,5
000048.SZ,0.1602,4362,2100,2
000049.SZ,0.2024,10735,1480,4
000050.SZ,0.2381,20079,665,8
000055.SZ,0.1791,6129,1999,2
000056.SZ,0.2652,3290,2240,1
000058.SZ,0.1244,22309,530,8
000059.SZ,0.2704,12915,1820,4
000060.SZ,0.2086,10875,1028,7
000061.SZ,0.2629,13739,949,7
000062.SZ,0.2325,7711,1645,3
000063.SZ,0.0634,67598,21,45
000065.SZ,0.1156,6002,1943,5
000066.SZ,0.1153,50562,16,28
000068.SZ,0.1223,5351,2030,4
000069.SZ,0.2364,17662,480,5
000070.SZ,0.1718,18583,757,7
000078.SZ,0.1325,20238,237,5
000088.SZ,nan,0,477,1
000089.SZ,0.1038,20490,372,10
000090.SZ,0.1617,19123,680,8
000096.SZ,0.0927,3453,2230,3
000099.SZ,0.1289,9580,1525,10
000100.SZ,0.1752,45381,14,22
000150.SZ,-0.1332,5436,1774,4
000151.SZ,0.3033,4321,2169,2
000153.SZ,0.0498,19244,464,25
000155.SZ,0.3514,8676,1721,4
000156.SZ,0.1152,8419,1436,4
000157.SZ,0.1861,25493,175,8
000158.SZ,0.1341,24897,131,13
000159.SZ,0.2863,18145,952,8
000166.SZ,0.2917,24543,108,6
000301.SZ,0.1287,3694,2009,5
000333.SZ,0.1131,33314,22,15
000338.SZ,0.1212,28984,157,8
000400.SZ,0.1907,30803,239,9
000401.SZ,0.1030,19194,277,10
000402.SZ,0.1800,5469,2053,3
000403.SZ,0.1554,11504,1388,4
000404.SZ,0.2061,3789,1971,3
000407.SZ,0.0418,4221,2073,2
000411.SZ,0.1602,33415,82,22
000413.SZ,0.0810,17142,173,8
000415.SZ,0.3066,10908,1289,6
000416.SZ,0.3505,5911,1987,3
000417.SZ,0.1628,5750,1850,6
000419.SZ,0.2690,2753,2125,3
000420.SZ,0.1121,5416,1721,2
000421.SZ,0.0063,14111,734,5
000423.SZ,0.1900,15080,1061,5
000425.SZ,0.0925,21247,136,7
000426.SZ,0.1212,15153,697,5
000428.SZ,0.0020,4865,1804,2
000429.SZ,0.0956,3727,2000,2
000430.SZ,0.0165,3417,1920,3
000488.SZ,0.1510,18300,418,4
000498.SZ,0.1475,5848,1796,3
000501.SZ,0.1203,26346,330,7
000502.SZ,0.0873,7277,1847,5
000503.SZ,0.2007,9329,1493,5
000505.SZ,0.1312,14517,829,6
000506.SZ,-0.0249,12800,717,6
000507.SZ,0.0673,5954,1665,5
000510.SZ,0.1455,14914,1019,17
000513.SZ,0.1972,24769,287,4
000514.SZ,-0.0100,3293,1991,7
000516.SZ,0.0587,19476,340,9
000517.SZ,0.3342,3824,2145,2
000518.SZ,-0.0479,24287,104,11
000519.SZ,0.0920,31888,45,21
000520.SZ,0.1878,2575,1786,4
000521.SZ,-0.1045,6885,1405,3
000523.SZ,0.1669,3198,1963,4
000524.SZ,0.1214,24759,1757,1
